Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/analyze,8,8,2018.6870999168605,2033.0919875123072,2018.6870999168605,2048.1360000558197,0.0,0.2914370430178085,0.2914370430178085,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/health,34,34,2011.6739000659436,2032.4327264816554,2011.6739000659436,2057.8946999739856,0.0,1.238607432825686,1.238607432825686,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100
GET,/metrics,23,23,2015.5763002112508,2034.0327869736307,2015.5763002112508,2061.303999973461,0.0,0.8378814986761994,0.8378814986761994,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,2100
,Aggregated,65,65,2011.6739000659436,2033.0800415518192,2011.6739000659436,2061.303999973461,0.0,2.367925974519694,2.367925974519694,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100
