Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/analyze,112,112,2018.0178999435157,2035.225158043821,2018.0178999435157,2056.4546999521554,0.0,3.9795909276904804,3.9795909276904804,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100
GET,/health,288,288,2017.710000043735,2033.5223496618305,2017.710000043735,2055.9968999587,0.0,10.233233814061236,10.233233814061236,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100
GET,/metrics,183,183,2015.4118000064045,2034.0719683085633,2015.4118000064045,2055.837799794972,0.0,6.50236731935141,6.50236731935141,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100
,Aggregated,583,583,2015.4118000064045,2034.0219976054584,2015.4118000064045,2056.4546999521554,0.0,20.715192061103128,20.715192061103128,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100
