Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/analyze,42,42,2014.428900089115,2031.0621928601038,2014.428900089115,2045.9463000297546,0.0,1.487142164624755,1.487142164624755,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/health,148,148,2012.2354999184608,2031.83937229128,2012.2354999184608,2049.75530016236,0.0,5.240405722963422,5.240405722963422,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/metrics,104,104,2013.8842000160366,2029.7663423161093,2013.8842000160366,2057.936100056395,0.0,3.6824472647851074,3.6824472647851074,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100
,Aggregated,294,294,2012.2354999184608,2030.995029932344,2012.2354999184608,2057.936100056395,0.0,10.409995152373284,10.409995152373284,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100
