Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773237919,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773237920,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773237921,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773237922,15,,Aggregated,0.000000,0.000000,2000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,5,5,2038.4110999293625,2043.0654200259596,2038.4110999293625,2057.936100056395,0.0
1773237923,20,,Aggregated,0.000000,0.000000,2000,2000,2000,2000,2100,2100,2100,2100,2100,2100,2100,10,10,2036.898500053212,2041.8440200621262,2036.898500053212,2057.936100056395,0.0
1773237924,25,,Aggregated,0.000000,0.000000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,2100,15,15,2036.898500053212,2041.0624600481242,2036.898500053212,2057.936100056395,0.0
1773237925,30,,Aggregated,1.666667,1.666667,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,21,21,2028.0296001583338,2040.2553048029188,2028.0296001583338,2057.936100056395,0.0
1773237926,35,,Aggregated,2.500000,2.500000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,33,33,2028.0296001583338,2039.0955545784284,2028.0296001583338,2057.936100056395,0.0
1773237927,45,,Aggregated,3.000000,3.000000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,42,42,2027.880699839443,2038.5628071713395,2027.880699839443,2057.936100056395,0.0
1773237928,50,,Aggregated,3.500000,3.500000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,52,52,2027.8451000340283,2038.1034846381785,2027.8451000340283,2057.936100056395,0.0
1773237929,50,,Aggregated,4.714286,4.714286,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,65,65,2027.0744999870658,2037.5363107878143,2027.0744999870658,2057.936100056395,0.0
1773237930,50,,Aggregated,5.777778,5.777778,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,80,80,2027.0744999870658,2037.42523251276,2027.0744999870658,2057.936100056395,0.0
1773237931,50,,Aggregated,6.500000,6.500000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,96,96,2025.9350999258459,2037.1742687614944,2025.9350999258459,2057.936100056395,0.0
1773237932,50,,Aggregated,7.900000,7.900000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,104,104,2024.427300086245,2036.4872961609553,2024.427300086245,2057.936100056395,0.0
1773237933,50,,Aggregated,9.400000,9.400000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,118,118,2023.0844002217054,2035.1826330603462,2023.0844002217054,2057.936100056395,0.0
1773237934,50,,Aggregated,9.700000,9.700000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,133,133,2023.0844002217054,2034.0915458781042,2023.0844002217054,2057.936100056395,0.0
1773237935,50,,Aggregated,10.100000,10.100000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,147,147,2019.5269000250846,2033.1532197377207,2019.5269000250846,2057.936100056395,0.0
1773237936,50,,Aggregated,11.700000,11.700000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,152,152,2019.5269000250846,2033.2080598776597,2019.5269000250846,2057.936100056395,0.0
1773237937,50,,Aggregated,12.400000,12.400000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,166,166,2019.5269000250846,2033.519313860045,2019.5269000250846,2057.936100056395,0.0
1773237938,50,,Aggregated,11.600000,11.600000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,187,187,2019.5269000250846,2033.3049331572565,2019.5269000250846,2057.936100056395,0.0
1773237939,50,,Aggregated,12.200000,12.200000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,194,194,2019.5269000250846,2033.0932948476702,2019.5269000250846,2057.936100056395,0.0
1773237940,50,,Aggregated,12.900000,12.900000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,203,203,2018.655899912119,2032.7350399021077,2018.655899912119,2057.936100056395,0.0
1773237941,50,,Aggregated,12.800000,12.800000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,217,217,2018.1831999216229,2032.4027682010787,2018.1831999216229,2057.936100056395,0.0
1773237942,50,,Aggregated,12.100000,12.100000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,235,235,2013.788300100714,2031.69648297567,2013.788300100714,2057.936100056395,0.0
1773237943,50,,Aggregated,11.900000,11.900000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,247,247,2012.2354999184608,2031.4137271222723,2012.2354999184608,2057.936100056395,0.0
1773237944,50,,Aggregated,13.200000,13.200000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,254,254,2012.2354999184608,2031.4941047223315,2012.2354999184608,2057.936100056395,0.0
